,date,group,buy,sell,diff
168,2021-02-12,4,42895.7,41401.3,1494.4000000000021
169,2021-02-15,4,61153.00000000001,63714.40000000001,-2558.400000000001
170,2021-02-16,4,85423.4,88411.59999999998,-2581.7999999999984
171,2021-02-17,4,58368.8,54368.799999999974,3997.0000000000014
172,2021-02-18,4,70837.6,68275.30000000003,1611.1000000000022
173,2021-02-19,4,66621.3,65766.3,3631.5000000000014
174,2021-02-22,4,61027.2,62373.49999999999,-1170.6999999999996
175,2021-02-24,4,70993.1,61303.1,8041.799999999997
176,2021-02-25,4,44290.69999999999,43430.999999999985,-566.199999999997
191,2021-02-25,4,44290.69999999999,43430.999999999985,-566.199999999997
177,2021-02-26,4,119860.5,106612.4,16516.000000000004
178,2021-03-01,4,37479.39999999999,53402.1,-16800.699999999993
179,2021-03-02,4,82222.1,77292.9,5349.199999999995
180,2021-03-03,4,47742.1,49628.9,-1529.7999999999965
181,2021-03-04,4,94040.7,93846.4,1190.2999999999995
182,2021-03-05,4,100426.59999999998,101598.5,571.0999999999976
183,2021-03-08,4,96569.30000000002,88919.59999999998,7353.399999999991
184,2021-03-09,4,89550.30000000002,86356.2,1152.2000000000035
185,2021-03-10,4,62311.49999999999,58205.39999999999,3816.1
186,2021-03-11,4,40105.2,43253.9,-3148.700000000001
187,2021-03-12,4,83585.59999999999,85559.8,-1302.200000000002
0,2021-02-24,1,56901.299999999996,69942.4,-13041.099999999999
1,2021-02-24,2,321398.3,311981.19999999995,10467.10000000001
2,2021-02-24,3,17063.9,25142.6,-7077.7
3,2021-02-24,4,70993.1,61303.1,8041.799999999997
